npf,nome,nome_sessao,quarto_jg,vel_max,dist_total,sprints,zv1,zv2,zv3,zv4,zv5,dcel1,dcel2,dcel3,dcel4,acel1,acel2,acel3,acel4,fc1,fc2,fc3,fc4,fc5,trimp,temp
692169,Alexandre Paranhos,25.10.18_Corinthians,1,26.1,497,1,170,212,69,11,10,22,48,15,4,26,47,16,0,0,0,0,4,1,21,25/26
713851,Danilo Fuzaro,25.10.18_Corinthians,1,23.8,526,0,130,228,104,40,0,36,38,11,2,38,29,18,0,5,3,1,3,2,36,25/26
723563,Darrell Davis,25.10.18_Corinthians,1,26.3,717,2,142,299,164,76,16,25,50,20,4,29,39,24,0,6,0,0,0,5,32,25/26
723898,Erik McCree,25.10.18_Corinthians,1,18.9,956,0,302,468,137,11,0,61,77,18,5,43,99,17,0,1,2,2,6,2,48,25/26
713017,Fernando Fernandes,25.10.18_Corinthians,1,6.0,52,0,39,0,0,0,0,1,30,0,0,3,28,0,0,2,0,0,0,0,2,25/26
719433,Juan Arengo,25.10.18_Corinthians,1,26.3,740,1,185,271,176,71,18,36,50,20,4,30,50,21,0,0,7,1,1,5,46,25/26
712072,Lucas Rodriguez,25.10.18_Corinthians,1,26.1,781,4,194,280,176,85,21,29,55,25,9,25,61,28,1,3,1,1,3,4,39,25/26
723475,Rafael Rachel,25.10.18_Corinthians,1,17.8,332,0,125,140,51,0,0,21,31,7,2,21,34,5,0,3,8,2,1,0,29,25/26
723467,Ricardo Fischer,25.10.18_Corinthians,1,26.1,865,1,251,327,210,47,6,40,48,23,5,37,55,21,0,4,1,1,1,7,49,25/26
703342,Vinci Oliveira,25.10.18_Corinthians,1,6.6,26,0,17,2,0,0,0,1,15,1,0,1,16,1,0,2,0,0,0,0,2,25/26
703343,Winicius Braga,25.10.18_Corinthians,1,20.1,791,0,226,441,94,9,0,37,52,21,5,35,71,13,0,4,1,2,3,5,46,25/26
709501,Yuri Neptune,25.10.18_Corinthians,1,26.4,936,1,241,370,234,47,14,37,64,24,4,32,71,27,0,0,3,1,1,8,56,25/26
692169,Alexandre Paranhos,25.10.18_Corinthians,2,18.0,842,0,399,315,85,0,0,43,80,20,4,49,82,19,0,6,3,2,3,4,51,25/26
713851,Danilo Fuzaro,25.10.18_Corinthians,2,6.4,64,0,34,1,0,0,0,21,17,0,0,21,18,0,0,18,11,0,0,0,40,25/26
723563,Darrell Davis,25.10.18_Corinthians,2,26.2,584,2,232,177,65,51,19,33,51,16,3,38,46,12,0,9,12,2,3,3,66,25/26
